iter	Passed	Remaining
412	5196	7386
413	5206	7369
414	5217	7354
415	5230	7342
416	5243	7330
417	5254	7316
418	5264	7300
419	5273	7282
420	5284	7267
421	5295	7253
422	5305	7237
423	5317	7223
424	5327	7207
425	5338	7193
426	5349	7177
427	5357	7160
428	5368	7145
429	5379	7130
430	5390	7116
431	5401	7101
432	5411	7086
433	5422	7071
434	5432	7056
435	5442	7040
436	5454	7027
437	5465	7013
438	5477	7000
439	5489	6986
440	5501	6973
441	5511	6958
442	5523	6944
443	5534	6930
444	5546	6917
445	5558	6904
446	5571	6892
447	5580	6875
448	5593	6863
449	5604	6849
450	5614	6834
451	5626	6821
452	5637	6806
453	5648	6792
454	5658	6778
455	5669	6763
456	5679	6748
457	5691	6734
458	5703	6722
459	5713	6707
460	5728	6697
461	5742	6686
462	5757	6677
463	5770	6666
464	5784	6655
465	5797	6644
466	5814	6636
467	5827	6624
468	5840	6612
469	5851	6598
470	5864	6586
471	5874	6571
472	5885	6556
473	5896	6543
474	5906	6528
475	5920	6517
476	5932	6504
477	5942	6489
478	5954	6477
479	5965	6462
480	5977	6449
481	5988	6436
482	6000	6422
483	6011	6408
484	6021	6394
485	6033	6380
486	6043	6366
487	6056	6354
488	6067	6340
489	6078	6326
490	6089	6312
491	6100	6298
492	6111	6285
493	6123	6272
494	6134	6258
495	6143	6242
496	6153	6227
497	6170	6220
498	6188	6213
499	6206	6206
500	6220	6195
501	6230	6181
502	6241	6166
503	6253	6154
504	6262	6138
505	6274	6125
506	6281	6107
507	6510	6295	508	6511	6312	509	6512	6332	6011
513	6349	6003
514	6363	5993
515	6382	5986
516	6397	5977
517	6413	5968
518	6432	5961
519	6449	5953
520	6463	5942
521	6475	5929
522	6486	5915
523	6498	5902
524	6506	5887
525	6517	5873
526	6528	5859
527	6539	5845
528	6551	5833
529	6563	5820
530	6573	5806
531	6585	5793
532	6597	5780
533	6613	5771
534	6630	5762
535	6647	5754
536	6663	5745
537	6680	5736
538	6695	5726
539	6709	5715
540	6724	5705
541	6741	5696
542	6759	5688
543	6775	5679
544	6790	5669
545	6811	5663
546	6829	5655
547	6846	5646
548	6861	5636
549	6875	5625
550	6889	5614
551	6903	5602
552	6918	5592
553	6932	5581
554	6946	5569
555	6961	5559
556	6975	5548
557	6990	5536
558	7006	5527
559	7022	5517
560	7038	5507
561	7052	5496
562	7070	5487
563	7082	5475
564	7093	5461
565	7104	5447
566	7115	5434
567	7127	5421
568	7138	5407
569	7150	5393
570	7161	5380
571	7173	5367
572	7184	5354
573	7196	5341
574	7207	5327
575	7222	5316
576	7236	5305
577	7250	5293
578	7265	5282
579	7280	5272
580	7294	5260
581	7310	5250
582	7326	5240
583	7341	5229
584	7356	5218
585	7370	5207
586	7385	5195
587	7400	5185
588	7415	5174
589	7431	5164
590	7445	5152
591	7459	5141
592	7470	5127
593	7482	5114
594	7495	5101
595	7506	5088
596	7518	5075
597	7529	5061
598	7540	5048
599	7551	5034
600	7561	5020
601	7572	5006
602	7585	4993
603	7596	4980
604	7608	4967
605	7619	4953
606	7629	4939
607	7641	4926
608	7653	4913
609	7664	4900
610	7674	4886
611	7685	4872
612	7694	4857
613	7706	4844
614	7717	4831
615	7728	4817
616	7739	4804
617	7751	4791
618	7763	4778
619	7773	4764
620	7786	4752
621	7796	4737
622	7807	4724
623	7817	4710
624	7828	4697
625	7839	4683
626	7853	4671
627	7865	4659
628	7877	4646
629	7888	4632
630	7898	4618
631	7910	4606
632	7920	4592
633	7932	4579
634	7944	4566
635	7956	4553
636	7974	4544
637	7987	4532
638	8003	4521
639	8015	4508
640	8025	4494
641	8037	4482
642	8047	4467
643	8058	4454
644	8069	4441
645	8080	4428
646	8092	4415
647	8102	4401
648	8113	4387
649	8123	4374
650	8134	4360
651	8145	4347
652	8157	4334
653	8167	4321
654	8179	4308
655	8190	4294
656	8201	4281
657	8211	4268
658	8223	4255
659	8233	4241
660	8243	4227
661	8253	4214
662	8265	4201
663	8277	4188
664	8287	4175
665	8299	4162
666	8311	4149
667	8322	4136
668	8334	4123
669	8345	4110
670	8356	4097
671	8365	4083
672	8376	4070
673	8386	4056
674	8397	4043
675	8408	4030
676	8419	4017
677	8431	4004
678	8440	3990
679	8452	3977
680	8464	3964
681	8476	3952
682	8487	3939
683	8497	3925
684	8507	3912
685	8519	3899
686	8531	3886
687	8542	3874
688	8554	3861
689	8565	3848
690	8576	3835
691	8586	3821
692	8597	3808
693	8608	3795
694	8619	3782
695	8632	3770
696	8644	3758
697	8656	3745
698	8666	3731
699	8677	3718
700	8690	3706
701	8699	3692
702	8710	3680
703	8721	3666
704	8733	3654
705	8744	3641
706	8755	3628
707	8766	3615
708	8778	3602
709	8790	3590
710	8800	3576
711	8810	3563
712	8820	3550
713	8830	3537
714	8842	3524
715	8854	3512
716	8864	3498
717	8877	3486
718	8888	3473
719	8898	3460
720	8910	3447
721	8922	3435
722	8933	3422
723	8945	3409
724	8957	3397
725	8969	3385
726	8979	3371
727	8991	3359
728	9002	3346
729	9011	3333
730	9024	3321
731	9035	3308
732	9044	3294
733	9056	3281
734	9067	3269
735	9078	3256
736	9090	3243
737	9100	3230
738	9110	3217
739	9120	3204
740	9131	3191
741	9143	3179
742	9155	3166
743	9169	3155
744	9181	3142
745	9192	3129
746	9202	3116
747	9212	3103
748	9222	3090
749	9234	3078
750	9245	3065
751	9257	3053
752	9268	3040
753	9281	3028
754	9294	3015
755	9306	3003
756	9316	2990
757	9327	2977
758	9338	2965
759	9348	2952
760	9361	2939
761	9372	2927
762	9382	2914
763	9393	2901
764	9403	2888
765	9412	2875
766	9423	2862
767	9432	2849
768	9443	2836
769	9455	2824
770	9466	2811
771	9479	2799
772	9490	2787
773	9502	2774
774	9513	2762
775	9526	2749
776	9538	2737
777	9549	2724
778	9560	2712
779	9572	2699
780	9585	2687
781	9596	2675
782	9608	2662
783	9621	2650
784	9633	2638
785	9645	2626
786	9655	2613
787	9667	2600
788	9678	2588
789	9692	2576
790	9703	2563
791	9715	2551
792	9725	2538
793	9737	2526
794	9748	2513
795	9760	2501
796	9772	2489
797	9783	2476
798	9792	2463
799	9803	2450
800	9814	2438
801	9826	2425
802	9841	2414
803	9855	2402
804	9870	2390
805	9885	2379
806	9897	2367
807	9911	2355
808	9925	2343
809	9942	2332
810	9954	2319
811	9967	2307
812	9978	2295
813	9989	2282
814	10001	2270
815	10013	2258
816	10025	2245
817	10036	2233
818	10047	2220
819	10058	2208
820	10073	2196
821	10088	2184
822	10107	2173
823	10123	2162
824	10137	2150
825	10153	2138
826	10171	2127
827	10182	2115
828	10197	2103
829	10214	2092
830	10228	2080
831	10245	2068
832	10260	2057
833	10276	2045
834	10294	2034
835	10311	2022
836	10321	2010
837	10333	1997
838	10345	1985
839	10356	1972
840	10366	1959
841	10376	1947
842	10386	1934
843	10397	1921
844	10409	1909
845	10420	1896
846	10432	1884
847	10445	1872
848	10460	1860
849	10476	1848
850	10492	1837
851	10506	1825
852	10520	1813
853	10535	1801
854	10548	1788
855	10563	1777
856	10577	1765
857	10593	1753
858	10609	1741
859	10627	1730
860	10643	1718
861	10656	1706
862	10670	1693
863	10686	1682
864	10697	1669
865	10709	1657
866	10723	1644
867	10734	1632
868	10746	1620
869	10758	1607
870	10770	1595
871	10781	1582
872	10792	1569
873	10803	1557
874	10816	1545
875	10833	1533
876	10849	1521
877	10867	1510
878	10881	1497
879	10897	1485
880	10911	1473
881	10927	1461
882	10941	1449
883	10952	1437
884	10965	1424
885	10977	1412
886	10987	1399
887	10996	1386
888	11006	1374
889	11015	1361
890	11026	1348
891	11036	1336
892	11045	1323
893	11056	1310
894	11066	1298
895	11078	1285
896	11089	1273
897	11101	1260
898	11111	1248
899	11123	1235
900	11134	1223
901	11144	1210
902	11156	1198
903	11168	1186
904	11179	1173
905	11191	1161
906	11202	1148
907	11215	1136
908	11224	1123
909	11234	1111
910	11244	1098
911	11256	1086
912	11267	1073
913	11278	1061
914	11289	1048
915	11300	1036
916	11310	1023
917	11320	1011
918	11331	998
919	11341	986
920	11352	973
921	11364	961
922	11377	949
923	11387	936
924	11396	924
925	11407	911
926	11417	899
927	11428	886
928	11441	874
929	11452	862
930	11464	849
931	11477	837
932	11488	825
933	11501	812
934	11512	800
935	11522	787
936	11534	775
937	11546	763
938	11558	750
939	11568	738
940	11580	726
941	11591	713
942	11602	701
943	11614	689
944	11628	676
945	11641	664
946	11651	652
947	11662	639
948	11673	627
949	11686	615
950	11704	603
951	11720	590
952	11735	578
953	11749	566
954	11767	554
955	11784	542
956	11801	530
957	11817	518
958	11834	505
959	11851	493
960	11867	481
961	11879	469
962	11892	456
963	11907	444
964	11918	432
965	11930	419
966	11941	407
967	11951	395
968	11962	382
969	11972	370
970	11983	357
971	11993	345
972	12004	333
973	12013	320
974	12022	308
975	12031	295
976	12038	283
977	12045	270
978	12053	258
979	12059	246
980	12066	233
981	12073	221
982	12080	208
983	12086	196
984	12091	184
985	12096	171
986	12102	159
987	12107	147
988	12112	134
989	12118	122
990	12124	110
991	12130	97
992	12137	85
993	12142	73
994	12148	61
995	12154	48
996	12159	36
997	12164	24
998	12170	12
999	12175	0
007	12
999	12016	0
